Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1073,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
1076,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
1080,373,FALSE,0,8,C5,C5,7F,50,C,BA,80,17,
1083,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
1087,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
1091,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
1094,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
1098,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
1101,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
1105,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
1108,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1113,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
1116,75A,FALSE,0,8,3,E9,3,E8,64,64,38,39,
1120,398,FALSE,0,8,1,0,0,4B,50,0,0,0,
1123,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
1127,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
1130,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
1134,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
1137,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
1141,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
1145,29A,FALSE,0,8,2,35,32,31,FF,FF,FF,FF,
1148,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1153,38A,FALSE,0,8,41,3C,0,0,4,0,0,0,
1156,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
1160,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1163,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
1167,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
1170,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
1174,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
1177,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
1180,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
1184,207,FALSE,0,8,0,0,0,0,0,0,0,0,
1187,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1191,569,FALSE,0,8,AA,82,A2,2,0,0,0,0,
1195,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
1198,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1202,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
1206,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
1209,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1213,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
1216,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
1219,373,FALSE,0,8,C5,C5,7F,4F,C,BA,80,17,
1223,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
1227,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
1230,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
1234,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
1239,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
1242,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
1246,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
1249,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1253,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
1256,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
1260,373,FALSE,0,8,C5,C5,7F,50,C,BA,80,17,
1263,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
1267,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
1270,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
1274,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
1277,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
1282,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
1286,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
1289,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1293,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
1296,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
1299,185,FALSE,0,8,0,0,15,0,0,0,0,0,
1303,286,FALSE,0,8,0,0,0,39,0,0,A,0,
1306,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
1309,373,FALSE,0,8,C5,C5,7F,50,C,BA,80,17,
1313,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
1317,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
1320,362,FALSE,0,8,2,1,0,0,0,0,0,0,
1324,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
1328,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1331,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
1335,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
1339,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
1342,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
1346,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
1349,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1353,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
1356,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
1359,373,FALSE,0,8,C5,C5,7F,50,C,BA,80,17,
1363,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
1368,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
1371,362,FALSE,0,8,2,1,0,0,0,0,0,0,
1374,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
1378,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1381,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
1385,207,FALSE,0,8,0,0,0,0,0,0,C,0,
1388,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1392,569,FALSE,0,8,AA,82,A2,2,0,0,0,0,
1395,371,FALSE,0,8,3C,0,0,0,0,0,0,0,
1398,185,FALSE,0,8,0,0,15,0,0,0,0,0,
1401,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
1405,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
1409,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
1413,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
1416,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
1420,373,FALSE,0,8,C5,C5,7F,50,C,BA,80,17,
1423,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
1427,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
1431,362,FALSE,0,8,2,1,0,0,0,0,0,0,
1434,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
