Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1725172529227293,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529227041,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529217532,00000200,false,Rx,0,8,00,80,D8,10,00,3B,D0,00,
-1725172529217288,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529217033,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529207541,00000200,false,Rx,0,8,00,80,D8,10,00,7B,D0,00,
-1725172529207297,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529207043,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529197535,00000200,false,Rx,0,8,00,80,D8,10,00,BB,D0,00,
-1725172529197292,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529197038,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529187538,00000200,false,Rx,0,8,00,80,D8,10,00,FB,D0,00,
-1725172529187298,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529187047,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529177536,00000200,false,Rx,0,8,00,80,D8,10,00,3B,D0,00,
-1725172529177295,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529177043,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529168090,00000594,false,Rx,0,8,3C,41,3C,41,A2,6A,04,20,
-1725172529167837,00000491,false,Rx,0,8,00,00,00,00,00,00,00,0A,
-1725172529167599,00000493,false,Rx,0,8,40,0B,80,69,72,00,00,00,
-1725172529167356,000004DD,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529167118,000004DE,false,Rx,0,8,00,F1,0A,00,F1,D5,1D,00,
-1725172529166880,000004E2,false,Rx,0,8,00,00,00,00,00,00,D0,9D,
-1725172529166641,00000542,false,Rx,0,8,6E,0C,00,00,00,00,FF,FF,
-1725172529166385,00000553,false,Rx,0,8,04,00,80,00,00,00,80,00,
-1725172529166158,00000595,false,Rx,0,8,0A,00,B9,B9,00,00,34,0E,
-1725172529165904,0000057F,false,Rx,0,8,80,0A,72,00,00,00,00,72,
-1725172529165667,00000596,false,Rx,0,8,25,76,00,00,00,00,0A,0C,
-1725172529165429,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529165172,00000597,false,Rx,0,8,89,00,00,00,00,00,00,80,
-1725172529164934,00000200,false,Rx,0,8,00,80,D8,10,00,7B,D0,00,
-1725172529164696,00000598,false,Rx,0,8,00,00,00,00,91,41,F1,12,
-1725172529164456,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529164217,00000599,false,Rx,0,8,08,80,00,00,00,00,00,80,
-1725172529163964,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529163710,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529163472,0000059E,false,Rx,0,8,00,00,00,00,34,0E,00,00,
-1725172529163234,000005A3,false,Rx,0,8,0F,00,00,00,C9,7D,2A,62,
-1725172529162996,000005D5,false,Rx,0,8,00,00,00,A0,C8,A0,00,04,
-1725172529162759,000005D6,false,Rx,0,8,B9,B9,00,00,0A,0C,9D,A7,
-1725172529162521,000005D7,false,Rx,0,8,02,A4,00,00,00,00,00,00,
-1725172529162278,000005D8,false,Rx,0,8,A1,6E,04,00,00,00,34,0E,
-1725172529157532,00000200,false,Rx,0,8,00,80,D8,10,00,BB,D0,00,
-1725172529157289,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529157034,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529147543,00000200,false,Rx,0,8,00,80,D8,10,00,FB,D0,00,
-1725172529147301,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529147047,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529137531,00000200,false,Rx,0,8,00,80,D8,10,00,3B,D0,00,
-1725172529137290,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529137037,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529127543,00000200,false,Rx,0,8,00,80,D8,10,00,7B,D0,00,
-1725172529127303,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529127036,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529117541,00000200,false,Rx,0,8,00,80,D8,10,00,BB,D0,00,
-1725172529117298,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529117044,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529107536,00000200,false,Rx,0,8,00,80,D8,10,00,FB,D0,00,
-1725172529107293,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529107038,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529097547,00000200,false,Rx,0,8,00,80,D8,10,00,3B,D0,00,
-1725172529097306,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529097052,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529087551,00000200,false,Rx,0,8,00,80,D8,10,00,7B,D0,00,
-1725172529087309,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529087057,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529077548,00000200,false,Rx,0,8,00,80,D8,10,00,BB,D0,00,
-1725172529077308,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529077056,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529068087,00000594,false,Rx,0,8,0A,41,0A,41,A2,6A,04,20,
-1725172529067848,00000491,false,Rx,0,8,2A,00,00,00,00,00,00,0A,
-1725172529067610,00000493,false,Rx,0,8,40,0B,80,69,72,00,AE,06,
-1725172529067367,000004DD,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529067129,000004DE,false,Rx,0,8,00,F1,0A,00,F1,D5,1D,00,
-1725172529066906,000004E2,false,Rx,0,8,66,03,FC,03,00,00,D0,9D,
-1725172529066652,00000542,false,Rx,0,8,6E,0C,00,00,00,00,FF,FF,
-1725172529066412,00000553,false,Rx,0,8,04,00,80,00,00,00,80,00,
-1725172529066168,00000595,false,Rx,0,8,0A,00,B9,B9,00,00,35,0E,
-1725172529065930,0000057F,false,Rx,0,8,80,0A,72,00,00,00,00,72,
-1725172529065692,00000596,false,Rx,0,8,2D,76,00,00,2A,00,0A,0C,
-1725172529065438,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529065197,00000597,false,Rx,0,8,09,5E,01,00,00,00,00,80,
-1725172529064958,00000200,false,Rx,0,8,00,80,D8,10,00,FB,D0,00,
-1725172529064720,00000598,false,Rx,0,8,00,00,00,00,91,41,F1,12,
-1725172529064482,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529064229,00000599,false,Rx,0,8,08,80,00,00,00,00,00,80,
-1725172529063991,00000524,false,Rx,0,8,6B,01,00,00,00,00,00,00,
-1725172529063736,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529063498,0000059E,false,Rx,0,8,00,00,00,00,35,0E,00,00,
-1725172529063255,000005A3,false,Rx,0,8,0F,00,00,00,C9,7D,2A,62,
-1725172529063016,000005D5,false,Rx,0,8,00,00,00,A0,C8,A0,00,04,
-1725172529062779,000005D6,false,Rx,0,8,B9,B9,00,00,0A,0C,25,5A,
