Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1688467640734197,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467640724200,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467640714182,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467640703154,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467640694162,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467640684123,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467640674112,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467640664095,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467640654422,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467640649432,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467640644420,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467640639409,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467640634091,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467640624075,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467640614081,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467640604047,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467640594036,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467640584023,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467640574008,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467640563995,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467640554378,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467640549384,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467640544372,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467640539360,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467640533991,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467640523972,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467640513978,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467640502972,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467640493935,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467640483916,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467640473905,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467640463892,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467640454327,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467640449334,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467640444322,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467640439310,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467640433888,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467640423872,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467640413875,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467640403825,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467640393834,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467640383815,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467640373803,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467640363789,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467640354279,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467640349282,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467640344270,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467640339263,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467640333783,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467640323771,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467640313772,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467640303722,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467640293731,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467640283714,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467640273702,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467640263687,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467640254229,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467640249234,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467640244224,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467640239210,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467640234705,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467640223665,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467640214692,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467640203615,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467640193625,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467640184636,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467640174620,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467640164592,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467640154180,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467640149184,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467640144160,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467640139162,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
