Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1767062277179030,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,CC,
-1767062277178774,000005C1,false,Rx,0,8,00,00,00,00,80,00,07,56,
-1767062277178518,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,83,
-1767062277178262,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277170028,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,F4,
-1767062277169687,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FC,52,
-1767062277169431,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,84,
-1767062277169175,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277160045,00000141,false,Rx,0,8,0C,81,6E,5C,4F,64,00,05,
-1767062277159789,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277159575,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,D9,
-1767062277159277,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FF,FE,
-1767062277159021,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,84,
-1767062277158765,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277150104,00000142,false,Rx,0,8,2D,71,2B,73,89,01,00,05,
-1767062277149848,00000178,false,Rx,0,8,60,00,01,4C,38,75,58,00,
-1767062277149592,0000017B,false,Rx,0,8,01,65,A0,00,10,2F,00,00,
-1767062277149336,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,D9,
-1767062277149080,000005C1,false,Rx,0,8,00,00,00,00,80,00,03,AA,
-1767062277148824,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,81,
-1767062277148568,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277140078,00000141,false,Rx,0,8,0D,CD,6E,5C,4F,64,00,05,
-1767062277139822,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277139566,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,D9,
-1767062277139310,000005C1,false,Rx,0,8,00,00,00,00,80,00,03,AA,
-1767062277139054,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,83,
-1767062277138798,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277130180,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,B1,
-1767062277129881,000005C1,false,Rx,0,8,00,00,00,00,80,00,07,56,
-1767062277129668,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,80,
-1767062277129412,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277120068,00000142,false,Rx,0,8,2E,71,2C,73,89,01,00,05,
-1767062277119770,00000141,false,Rx,0,8,0E,19,6E,5C,4F,64,00,05,
-1767062277119556,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277119300,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,CC,
-1767062277119002,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FC,52,
-1767062277118788,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,81,
-1767062277118532,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277111962,00000536,false,Rx,0,8,00,41,40,21,00,00,00,00,
-1767062277109317,00000182,false,Rx,0,8,00,02,FF,7F,F9,00,00,00,
-1767062277109018,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,CC,
