Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
8132916,0000000D,false,Rx,0,8,F0,01,03,E8,03,E8,00,00,
8133162,00000067,false,Rx,0,8,F7,34,00,00,00,00,00,00,
8134634,00000104,false,Rx,0,8,00,00,00,04,00,00,00,00,
8135512,000000A3,false,Rx,0,8,FC,00,00,00,00,00,00,00,
8135763,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
8137247,000001B1,false,Rx,0,8,00,00,10,00,00,00,00,00,
8137666,00000013,false,Rx,0,8,0D,FB,00,00,00,00,00,00,
8137907,000000AA,false,Rx,0,8,FF,07,00,FA,3F,FE,3F,FF,
8138148,000002DD,false,Rx,0,8,6C,06,FF,40,0F,FC,00,00,
8138963,000001B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
8139206,000001A1,false,Rx,0,8,60,0B,26,00,02,82,02,00,
8139444,00000044,false,Rx,0,8,6D,3F,01,B2,FF,45,00,00,
8139693,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
8139945,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
8140184,00000092,false,Rx,0,8,86,08,00,00,10,00,28,00,
8140425,000000A2,false,Rx,0,8,06,00,00,00,00,00,24,09,
8140675,000000A4,false,Rx,0,8,00,00,00,00,27,FE,10,00,
8140923,00000072,false,Rx,0,8,00,00,00,00,05,9D,01,A4,
8141168,000000A8,false,Rx,0,8,E7,08,00,00,00,00,00,00,
8141412,000000E8,false,Rx,0,8,00,00,03,9C,00,14,00,00,
8141646,00000177,false,Rx,0,8,44,3A,00,00,41,00,3A,6C,
8141887,00000200,false,Rx,0,8,00,00,00,01,7F,4B,FE,32,
8142660,00000041,false,Rx,0,8,86,0A,01,4C,00,00,00,00,
8142899,0000000D,false,Rx,0,8,4E,02,03,E8,03,E8,00,00,
8143150,0000025F,false,Rx,0,8,00,00,00,00,00,00,00,00,
8145488,000000A3,false,Rx,0,8,E1,01,00,00,00,00,00,00,
8145739,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
8145980,000000D9,false,Rx,0,8,00,00,09,A6,01,01,00,00,
8146205,00000088,false,Rx,0,8,F7,05,01,C1,C5,66,C6,D0,
8146454,0000008A,false,Rx,0,8,00,00,03,96,02,93,00,00,
8146678,0000008C,false,Rx,0,8,95,05,01,51,3A,83,8C,12,
8146924,0000008E,false,Rx,0,8,00,01,03,FF,00,00,00,7C,
8147176,00000090,false,Rx,0,8,00,00,01,A2,00,00,00,00,
8147420,00000096,false,Rx,0,8,87,10,01,A0,00,00,00,00,
8147663,00000098,false,Rx,0,8,B3,45,00,00,07,E8,03,E8,
8147910,00000013,false,Rx,0,8,F9,FC,00,00,00,00,00,00,
8148156,00000036,false,Rx,0,8,89,38,00,00,00,00,00,00,
8148402,00000050,false,Rx,0,8,3E,06,09,80,00,80,B4,50,
8148640,00000011,false,Rx,0,8,72,EA,0C,C4,00,00,00,00,
8148891,00000084,false,Rx,0,8,CC,5F,79,00,00,00,00,00,
8149111,000000AA,false,Rx,0,8,A3,08,00,FA,3F,FE,3F,FF,
8149358,000000C8,false,Rx,0,8,C1,05,00,00,00,00,7F,FA,
8149598,00000044,false,Rx,0,8,5D,30,02,16,FF,45,00,00,
8149874,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
8150101,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
8150348,000000A2,false,Rx,0,8,1B,01,00,00,00,00,24,09,
8150575,000000CA,false,Rx,0,8,C6,01,A1,15,A1,80,00,24,
8150876,000000DB,false,Rx,0,8,00,59,00,00,01,A6,00,00,
8151061,000000DD,false,Rx,0,8,00,0A,00,0A,FE,0B,03,E6,
8151300,000000EF,false,Rx,0,8,00,00,0E,51,F3,00,00,00,
8151552,000000FB,false,Rx,0,8,00,00,00,00,00,00,00,00,
8151875,00000109,false,Rx,0,8,00,00,00,00,00,18,00,02,
8152043,00000135,false,Rx,0,8,22,13,00,00,00,00,00,00,
8152288,0000013D,false,Rx,0,8,00,00,00,00,00,00,00,00,
8152534,0000015B,false,Rx,0,8,00,08,00,01,00,6C,00,96,
8152774,00000041,false,Rx,0,8,09,0B,01,4C,00,00,00,00,
8153018,0000000D,false,Rx,0,8,24,03,03,E8,03,E8,00,00,
8153258,00000067,false,Rx,0,8,78,35,00,00,00,00,00,00,
8153509,0000013F,false,Rx,0,8,00,00,00,00,00,00,00,00,
8153753,00000191,false,Rx,0,8,00,AD,01,17,00,00,00,00,
8153983,00000143,false,Rx,0,8,6F,00,01,A1,43,40,01,A6,
8154238,000002DD,false,Rx,0,8,2A,07,FF,40,0F,FC,00,00,
8154466,00000159,false,Rx,0,8,90,0F,3D,60,00,02,06,4B,
8154716,0000029E,false,Rx,0,8,00,00,00,00,00,00,00,00,
8154963,00000115,false,Rx,0,8,00,00,00,00,00,00,01,00,
8155198,00000183,false,Rx,0,8,0A,0A,00,5A,40,00,00,8C,
8155444,000001A3,false,Rx,0,8,00,00,00,78,82,01,00,91,
8155733,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
8155940,000000A3,false,Rx,0,8,C6,02,00,00,00,00,00,00,
8157657,00000013,false,Rx,0,8,64,FD,00,00,00,00,00,00,
8157893,000000AA,false,Rx,0,8,FE,09,00,FA,3F,FE,3F,FF,
8158138,000002DD,false,Rx,0,8,EF,08,FF,40,0F,FC,00,00,
8159152,000001D3,false,Rx,0,8,00,00,00,00,00,00,00,00,
8159385,00000044,false,Rx,0,8,4A,31,02,7A,FF,46,00,00,
8159637,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
8159893,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
8160131,00000092,false,Rx,0,8,09,09,00,00,10,00,28,00,
8160370,000000A2,false,Rx,0,8,3C,02,00,00,00,00,24,09,
8160615,00000072,false,Rx,0,8,00,00,00,00,05,9D,01,A4,
8160874,000000A4,false,Rx,0,8,00,00,00,00,27,FE,10,00,
8161111,000000A8,false,Rx,0,8,68,09,00,00,00,00,00,00,
